ABBR,Long_Form,Num_Variants,Long_Form_Score,Count
SIADH,syndrome of inappropriate secretion of antidiuretic hormone,213,0.8277,213
SLE,systemic lupus erythematosus,9271,0.9932,9271
SMA,spinal muscular atrophy,563,0.9885,599
SSRI,selective serotonin reuptake inhibitor,362,0.9278,452
STD,sexually transmitted disease,1180,0.97,1796
STT,spinothalamic tract,126,0.9622,126
SVC,superior vena cava,466,0.974,466
SVG,saphenous vein graft,123,0.9612,176
SVT,supraventricular tachycardia,374,0.8308,403
TAH,total artificial heart,223,0.9585,239
TBI,Traumatic brain injury,2190,0.988,2235
TEE,transesophageal echocardiography,1267,0.8802,1267
TENS,transcutaneous electrical nerve stimulation,436,0.9754,436
THC,delta 9-tetrahydrocannabinol,262,0.9269,587
TIA,transient ischemic attack,414,0.9036,591
TIBC,total iron-binding capacity,86,0.9111,86
TIMI,thrombolysis in myocardial infarction,465,0.9408,465
TIPS,Transjugular intrahepatic portosystemic shunt,481,0.9726,590
TKA,total knee arthroplasty,584,0.9839,610
TMJ,temporomandibular joint,1595,0.9638,1674
TPA,phorbol ester 12-O-tetradecanoylphorbol-13-acetate,245,0.986,341
TPN,total parenteral nutrition,1964,0.9789,1964
TSH,thyroid-stimulating hormone,1454,0.9617,2441
TTP,thrombotic thrombocytopenic purpura,766,0.9724,766
TURP,transurethral resection of the prostate,674,0.9509,674
URI,upper respiratory infection,50,0.9404,75
UTI,urinary tract infection,1046,0.991,1468
VAC,vacuum-assisted closure,25,0.6411,33
VAD,ventricular assist device,184,0.9499,223
VATS,Video-assisted thoracic surgery,279,0.9042,279
VBAC,Vaginal birth after cesarean,43,0.9323,43
VBG,Vertical banded gastroplasty,144,0.9792,144
VCUG,voiding cystourethrography,105,0.9715,105
VDRL,Venereal Disease Research Laboratory,116,0.8715,116
VLDL,low density lipoprotein,1163,0.9822,2104
VRE,vancomycin-resistant enterococci,412,0.8666,412
VSD,ventricular septal defect,846,0.9856,919
WBC,white blood cell,1151,0.9838,1582
XRT,radiotherapy,106,0.3312,106
