layer,head,patched_logit_difference,indirect_effect,normalized_restoration
13,2,2.9798264723557697,0.002035757211538462,0.01672820354630071
13,3,2.9849797175480766,0.007189002403846154,0.006688420743859964
13,4,2.9823505108173074,0.004559795673076923,0.011077621980853799
13,5,2.9759803185096154,-0.0018103966346153845,0.027657982886712066
13,6,2.982125150240385,0.004334435096153846,-0.0062503998000137395
13,7,2.9812800480769233,0.0034893329326923074,-0.025385876853148533
13,8,2.9791691706730767,0.001378455528846154,0.037084074197432156
13,9,2.9815692608173077,0.0037785456730769227,-0.040741380046510164
13,10,2.9779371995192303,0.00014648437499999943,-0.03759267351017839
13,11,2.9818321814903843,0.0040414663461538465,0.006262753804766763
13,12,2.9739708533653846,-0.0038198617788461533,0.042783318872093475
13,13,2.981554236778846,0.0037635216346153847,-0.003967708450662095
13,14,2.9820800781249996,0.004289362980769231,-0.010330639397378188
13,15,2.981512920673077,0.0037222055288461536,0.009452024973347652
13,16,2.979071514423077,0.0012807992788461536,-0.005784548077968805
13,17,2.984972205528846,0.007181490384615385,-0.006944002419596911
13,18,2.9810922475961537,0.003301532451923076,0.08011593547164639
13,19,2.981107271634615,0.0033165564903846157,-0.03919439577216747
13,20,2.976645132211538,-0.0011455829326923077,0.00764782040747645
13,21,2.98280498798077,0.005014272836538462,-0.05100510343391777
13,22,2.9822528545673075,0.004462139423076924,0.006737698274227983
13,23,2.980310997596154,0.002520282451923077,0.022487196172247682
14,0,2.976400991586539,-0.0013897235576923082,0.04044580870602758
14,1,2.9827749399038463,0.004984224759615385,0.028187566529369476
14,2,2.980487530048077,0.002696814903846154,-0.020642986669521
14,3,2.981576772836538,0.0037860576923076923,-0.0059418050076456485
14,4,2.980277193509615,0.002486478365384615,-0.0034781696654098138
14,5,2.9792931189903844,0.0015024038461538456,0.04670294360587886
14,6,2.9791015624999995,0.0013108473557692309,0.027822270149840587
14,7,2.9791691706730767,0.001378455528846154,0.0055979744878823295
14,8,2.981884765625,0.004094050480769231,0.015496310973960361
14,9,2.977264873798077,-0.0005258413461538459,0.027727234036691143
14,10,2.980908203125,0.003117487980769231,0.05187126636197248
14,11,2.979950420673077,0.002159705528846154,0.02369696025925103
14,12,2.981223707932693,0.003432992788461539,0.028324855933835717
14,13,2.9851449819711537,0.007354266826923078,0.029998335471942895
14,14,2.9791053185096152,0.0013146033653846155,0.019462231380099896
14,15,2.974432842548077,-0.0033578725961538464,0.02492400511141246
14,16,2.981817157451923,0.004026442307692308,0.033138391061315206
14,17,2.977753155048077,-3.7560096153845885e-05,-0.01837654743539399
14,18,2.9749511718749995,-0.002839543269230769,-0.005455147090659828
14,19,2.9836688701923078,0.005878155048076922,0.010978450009919193
14,20,2.9799954927884613,0.002204777644230769,0.02273702845580811
14,21,2.980059344951923,0.0022686298076923074,0.034366089325024704
14,22,2.9782301682692305,0.0004394531250000001,0.014407103393150038
14,23,2.980562650240384,0.0027719350961538467,-0.013730231169314301
15,0,2.977516526442308,-0.0002741887019230772,0.0015551828633519316
15,1,2.9826359675480774,0.004845252403846154,0.02839860168093234
15,2,2.9847092848557697,0.006918569711538462,-0.014265739001764236
15,3,2.9795635516826926,0.0017728365384615387,0.02790735491837051
15,4,2.9805851862980766,0.002794471153846154,-0.022335972552330215
15,5,2.979033954326923,0.0012432391826923074,0.013298160409081612
15,6,2.9794621394230774,0.0016714242788461535,0.003951360339818718
15,7,2.980626502403846,0.0028357872596153845,0.01969835752881616
15,8,2.976115534855769,-0.0016751802884615386,0.050127362521717164
15,9,2.979957932692308,0.0021672175480769236,0.001212846528118404
15,10,2.978827373798077,0.0010366586538461545,0.008280286153149442
15,11,2.9778620793269233,7.136418269230737e-05,0.011505915474032801
15,12,2.977313701923076,-0.00047701322115384543,0.039880542958630416
15,13,2.981144831730769,0.0033541165865384618,0.006007595411049963
15,14,2.9818997896634625,0.004109074519230769,0.01614110081803968
15,15,2.983695162259615,0.005904447115384615,-0.020753287823463782
15,16,2.9780235877403842,0.00023287259615384625,0.02887039754352993
15,17,2.983221905048077,0.0054311899038461545,0.02275444726697009
15,18,2.9852989783653845,0.0075082632211538455,0.021760302891562548
15,19,2.977644230769231,-0.00014648437499999967,0.07475698875305013
15,20,2.980990835336539,0.003200120192307692,-0.02581591422303723
15,21,2.9775503305288455,-0.00024038461538461534,-0.016723028094036325
15,22,2.97802734375,0.00023662860576923226,0.11067490538953836
15,23,2.984074519230769,0.006283804086538461,0.0042045787326114754
16,0,2.980641526442308,0.0028508112980769234,-0.0001480162505909441
16,1,2.9805138221153844,0.002723106971153847,-0.020416862300249264
16,2,2.9783954326923077,0.0006047175480769231,0.00919929474249814
16,3,2.973876953125,-0.003913762019230769,0.06884724097120355
16,4,2.9802621694711537,0.0024714543269230773,0.005642940808918363
16,5,2.983698918269231,0.005908203125000001,0.0460377929502991
16,6,2.9807279146634613,0.002937199519230769,-0.037065622228853325
16,7,2.9783278245192304,0.0005371093750000002,-0.019935731867122903
16,8,2.9791541466346154,0.0013634314903846153,-0.011932175460226414
16,9,2.98363506610577,0.005844350961538462,0.006308749072911397
16,10,2.979326923076923,0.0015362079326923077,-0.01526947182499765
16,11,2.9827974759615383,0.005006760817307693,0.01028751379106655
16,12,2.979897836538462,0.002107121394230769,0.04691173527136207
16,13,2.9792405348557693,0.0014498197115384614,0.043588009902153065
16,14,2.978778545673077,0.0009878305288461538,0.01312678770452395
16,15,2.9814415564903842,0.0036508413461538466,0.000309578592593818
16,16,2.981343900240385,0.003553185096153846,0.01939040027503652
16,17,2.9823204627403848,0.004529747596153846,0.008591363249739746
16,18,2.9820575420673077,0.004266826923076923,0.005890908706024384
16,19,2.979510967548077,0.0017202524038461538,0.009404201157276519
16,20,2.9809457632211536,0.0031550480769230774,0.04830988272057968
16,21,2.9788048377403844,0.0010141225961538462,0.041523724354827304
16,22,2.979165414663461,0.0013746995192307696,0.017401234797634217
16,23,2.9809720552884618,0.003181340144230769,-0.0033697027653517694
17,0,2.9781775841346154,0.0003868689903846158,0.05780901111178706
17,1,2.9817044771634613,0.003913762019230769,0.04167139227372912
17,2,2.979755108173077,0.0019643930288461542,0.03742219450216362
17,3,2.979755108173077,0.0019643930288461534,-0.007054217623523403
17,4,2.981043419471154,0.0032527043269230766,0.006116650433916423
17,5,2.979435847355769,0.001645132211538462,0.04823943863159508
17,6,2.980153245192308,0.0023625300480769234,-0.010623266133165537
17,7,2.98046875,0.0026780348557692312,0.0454015593384304
17,8,2.9809232271634616,0.0031325120192307685,0.01663514619685523
17,9,2.9805701622596152,0.0027794471153846155,-0.016571105659322728
17,10,2.9815204326923075,0.0037297175480769237,-0.005027693024941627
17,11,2.980119441105769,0.002328725961538461,-0.016925290783214298
17,12,2.9791053185096152,0.0013146033653846155,0.0724810926111741
