ABBR,layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c,count,c_to_b_count
AAA,5,11,4.6767578125,0.0044921875,-0.1825153870806045,4.6974609375,0.0251953125,-0.00721834319597961,-0.020703125000000003,5,5
AAA,5,12,4.6951171875,0.0228515625,-0.09665460078503556,4.686328125,0.0140625,-0.004381485500862109,0.008789062499999998,5,5
AAA,5,13,4.6716796875,-0.0005859375,-0.32336827097696663,4.6701171875,-0.0021484375,0.0001799647987461654,0.0015625,5,5
AAA,5,14,4.6818359375,0.0095703125,-0.07473093494832625,4.6927734375,0.0205078125,-0.006036174994580873,-0.0109375,5,5
AAA,5,15,4.6794921875,0.0072265625,-0.046227350792568185,4.6951171875,0.0228515625,-0.0063502155142551005,-0.015624999999999998,5,5
AAA,5,16,4.7037109375,0.0314453125,-0.010730417252156385,4.687109375,0.01484375,-0.005708509913287765,0.016601562500000003,5,5
AAA,5,17,4.696875,0.024609375,0.2153968182229052,4.6830078125,0.0107421875,-0.003921790392236818,0.0138671875,5,5
AAA,5,18,4.6779296875,0.0056640625,-0.11152286217503611,4.6994140625,0.0271484375,-0.007425175360657406,-0.021484375,5,5
AAA,5,19,4.6646484375,-0.0076171875,-0.20119795989361206,4.7046875,0.032421875,-0.011677564808223243,-0.0400390625,5,5
AAA,5,20,4.6830078125,0.0107421875,-0.11510704532443661,4.6796875,0.007421875,-0.002977145633763443,0.0033203125000000003,5,5
AAA,5,21,4.6806640625,0.0083984375,0.0527715371193632,4.701171875,0.02890625,-0.007685857583635316,-0.0205078125,5,5
AAA,5,22,4.683203125,0.0109375,-0.13987108269716966,4.6974609375,0.0251953125,-0.007040648657518432,-0.014257812500000001,5,5
AAA,5,23,4.6828125,0.010546875,0.018498133280741978,4.698828125,0.0265625,-0.007051681500059389,-0.016015625,5,5
AAA,5,24,4.6921875,0.019921875,0.03722425831121483,4.7029296875,0.0306640625,-0.00985857339654094,-0.0107421875,5,5
AAA,5,25,4.7005859375,0.0283203125,-0.10655096568140046,4.7037109375,0.0314453125,-0.01064834022605674,-0.0031250000000000028,5,5
