ABBR,layer,patched_logit_difference,indirect_effect,normalized_restoration,count
ADA,19,2.835546875,0.0130859375,0.06698655326136259,5
ADA,20,2.8279296875,0.00546875,-0.00011023165037601367,5
ADA,21,2.837109375,0.0146484375,0.038550202313798215,5
ADA,22,2.841015625,0.0185546875,0.014625700955051257,5
ADA,23,2.8208984375,-0.0015625,-0.008124144989884109,5
ADA,24,2.83359375,0.0111328125,0.02862399090839813,5
ADA,25,2.84609375,0.0236328125,0.04747781546144759,5
ADA,26,2.8275390625,0.005078125,-0.009420732666938637,5
ADA,27,2.83828125,0.0158203125,-0.0062296480533856795,5
ADA,28,2.825390625,0.0029296875,0.003670837693320751,5
ADA,29,2.8384765625,0.016015625,0.02296429919893853,5
ADA,30,2.830078125,0.0076171875,0.017554709698102803,5
ADA,31,2.826171875,0.0037109375,0.004870017410792944,5
ADL,0,1.39609375,0.046484375,0.0995565961072611,5
ADL,1,1.36875,0.019140625,0.053513455409366494,5
ADL,2,1.369140625,0.01953125,0.06496107818461629,5
ADL,3,1.35390625,0.004296875,-0.005123697684387222,5
ADL,4,1.35234375,0.002734375,-0.018758646170938195,5
ADL,5,1.3578125,0.008203125,0.01705333478411269,5
ADL,6,1.341015625,-0.00859375,-0.050933992223537936,5
ADL,7,1.359375,0.009765625,0.015738341167197613,5
ADL,8,1.34296875,-0.006640625,-0.024160549573097108,5
ADL,9,1.376171875,0.0265625,0.10521903576019265,5
ADL,10,1.3546875,0.005078125,0.036787880135338805,5
ADL,11,1.353125,0.003515625,0.010811701906220208,5
ADL,12,1.35546875,0.005859375,0.05044198113970361,5
ADL,13,1.355859375,0.00625,0.010883536731260416,5
ADL,14,1.3453125,-0.004296875,0.004404650359904143,5
ADL,15,1.3546875,0.005078125,0.0037168968437774653,5
ADL,16,1.344140625,-0.00546875,0.010685974594351121,5
ADL,17,1.341796875,-0.0078125,-0.0399626874806069,5
ADL,18,1.34765625,-0.001953125,0.0050478162553009584,5
ADL,19,1.352734375,0.003125,0.018176780413221592,5
ADL,20,1.346875,-0.002734375,0.004871883808379622,5
ADL,21,1.34609375,-0.003515625,0.021216917578399185,5
ADL,22,1.3515625,0.001953125,0.05387503384252473,5
ADL,23,1.3390625,-0.010546875,-0.028686780742926892,5
ADL,24,1.35078125,0.001171875,0.05172316195836365,5
ADL,25,1.35,0.000390625,-0.00732090082669185,5
ADL,26,1.37421875,0.024609375,0.08523084331150176,5
ADL,27,1.344140625,-0.00546875,-0.016842832384682413,5
ADL,28,1.352734375,0.003125,0.016891764613545437,5
ADL,29,1.35390625,0.004296875,0.019500327866800005,5
ADL,30,1.356640625,0.00703125,0.0610331481942286,5
