ABBR,layer,head,ac_answer_logprob_diff,ac_primary_lp,ac_alt_lp,ac_kl_div,ac_normalized,ac_ie,ca_answer_logprob_diff,ca_primary_lp,ca_alt_lp,ca_kl_div,ca_normalized,ca_ie,aa_ie,cc_ie,bidirectional_ie,ac_count,ca_count,bie_count
AAA,1,13,1.5283203125,-0.5888671875,-2.1171875,0.007372792733541763,0.006179302578637042,0.0185546875,5.8798828125,-0.3544921875,-6.234375,0.0006372744877672794,0.0004720542213899503,-0.001953125,-0.015625,0.017578125,0.0205078125,2,2,2
AAA,1,14,1.5703125,-0.59375,-2.1640625,0.0027791906689265578,0.014743021990535718,0.060546875,5.880859375,-0.353515625,-6.234375,0.0004015026016482484,0.0020401557135747484,-0.0009765625,-0.0322265625,-0.001953125,0.0615234375,2,2,2
AAA,1,15,1.48046875,-0.58984375,-2.0703125,0.0019912014223019644,-0.010033023761925247,-0.029296875,5.8984375,-0.3515625,-6.25,0.0006458369634766652,-0.0033017435534073943,0.0166015625,0.015625,0.005859375,-0.0458984375,2,2,2
AAA,1,16,1.5625,-0.5859375,-2.1484375,0.0027974078720535912,0.011980076085397846,0.052734375,5.8818359375,-0.3525390625,-6.234375,0.0006768262817511957,-0.00010934112744725899,0.0,0.0302734375,0.033203125,0.052734375,2,2,2
AAA,1,17,1.490234375,-0.603515625,-2.09375,0.0011052893063535694,-0.007126047017739201,-0.01953125,5.9228515625,-0.3583984375,-6.28125,0.00199552794590704,-0.013193372472606726,0.041015625,-0.0234375,0.041015625,-0.060546875,2,2,2
AAA,1,18,1.52734375,-0.6171875,-2.14453125,0.0034326033349958212,0.006107287159112956,0.017578125,5.884765625,-0.349609375,-6.234375,0.0015210217384351084,-0.0008720930232558139,0.0029296875,0.0263671875,0.056640625,0.0146484375,2,2,2
AAA,1,19,1.556640625,-0.595703125,-2.15234375,0.002498737179358587,0.013078759352514952,0.046875,5.9140625,-0.3671875,-6.28125,0.0010252801597863842,-0.007078177324526997,0.0322265625,0.041015625,-0.009765625,0.0146484375,2,2,2
AAA,1,20,1.548828125,-0.587890625,-2.13671875,0.0014280659739876061,0.009878448937588042,0.0390625,5.8671875,-0.3515625,-6.21875,0.00023077208850042806,0.00436046511627907,-0.0146484375,0.0185546875,0.029296875,0.0537109375,2,2,2
AAA,1,21,1.49609375,-0.6015625,-2.09765625,0.0019117222627938178,-0.0027576739124933573,-0.013671875,5.8798828125,-0.3544921875,-6.234375,0.0006287401803656883,0.0004720542213899503,-0.001953125,0.0556640625,0.009765625,-0.01171875,2,2,2
AAA,1,22,1.515625,-0.6015625,-2.1171875,0.0017517551654471371,0.00043209251714452016,0.005859375,5.921875,-0.359375,-6.28125,0.0008030480215254344,-0.009403758719875834,0.0400390625,0.0234375,0.013671875,-0.0341796875,2,2,2
AAA,1,23,1.51171875,-0.6015625,-2.11328125,0.0017757645384898614,-0.0002933336707408626,0.001953125,5.8984375,-0.3515625,-6.25,0.0006559472810379718,-0.005051201592563538,0.0166015625,0.0185546875,0.037109375,-0.0146484375,2,2,2
AAA,1,24,1.490234375,-0.607421875,-2.09765625,0.0011390045161521738,-0.0034084486845323957,-0.01953125,5.880859375,-0.353515625,-6.234375,0.000252508039321177,0.00018135654697134566,-0.0009765625,0.009765625,-0.001953125,-0.0185546875,2,2,2
AAA,1,25,1.53125,-0.58984375,-2.12109375,0.002074866978829414,0.00552061981763123,0.021484375,5.921875,-0.359375,-6.28125,0.000929117662775558,-0.009403758719875834,0.0400390625,0.0146484375,0.001953125,-0.0185546875,2,2,2
AAA,1,26,1.46875,-0.58984375,-2.05859375,0.002699804984503924,-0.007398292717902001,-0.041015625,5.8828125,-0.3515625,-6.234375,0.0006704877623377008,-0.002149496841022007,0.0009765625,0.037109375,0.029296875,-0.0419921875,2,2,2
AAA,1,27,1.6162109375,-0.5712890625,-2.1875,0.005868296019008245,0.028405812688210137,0.1064453125,5.8828125,-0.3515625,-6.234375,0.000669639012653985,-0.00040003880186586366,0.0009765625,0.04296875,-0.03125,0.10546875,2,2,2
AAA,1,28,1.41796875,-0.640625,-2.05859375,0.006853102807929234,-0.025794805611087213,-0.091796875,5.912109375,-0.353515625,-6.265625,0.0007300970356455172,-0.006496781975689788,0.0302734375,0.048828125,0.06640625,-0.1220703125,2,2,2
AAA,1,29,1.5703125,-0.578125,-2.1484375,0.003696357245329412,0.013212246206274094,0.060546875,5.833984375,-0.353515625,-6.1875,0.0002580773587643828,0.010635928840752082,-0.0478515625,-0.001953125,0.0,0.1083984375,2,2,2
AAA,1,30,1.33203125,-0.6640625,-1.99609375,0.013053273326770747,-0.04700255586203406,-0.177734375,5.9130859375,-0.3681640625,-6.28125,0.0010358176192366798,-0.008536937689264536,0.03125,0.0009765625,0.001953125,-0.208984375,2,2,2
AAA,1,31,1.6181640625,-0.5654296875,-2.18359375,0.005757742447163437,0.02789379676257476,0.1083984375,5.8974609375,-0.3525390625,-6.25,0.00013509381762050567,-0.004651162790697674,0.015625,0.0322265625,0.033203125,0.0927734375,2,2,2
AAA,2,0,1.529296875,-0.580078125,-2.109375,0.0015583748031231138,0.003627130939426913,0.01953125,5.8984375,-0.3671875,-6.265625,0.0017062834430651244,-0.005051201592563538,0.0166015625,0.048828125,0.00390625,0.0029296875,2,2,2
AAA,2,1,1.5078125,-0.58984375,-2.09765625,0.0014052666261260738,-0.00014403083904817335,-0.001953125,5.912109375,-0.369140625,-6.28125,0.001319173158434864,-0.007371510995267859,0.0302734375,0.0009765625,0.029296875,-0.0322265625,2,2,2
AAA,2,2,1.439453125,-0.619140625,-2.05859375,0.002367006514093088,-0.018524727754299836,-0.0703125,5.896484375,-0.353515625,-6.25,0.00031303530509412474,-0.004469806243726329,0.0146484375,0.041015625,0.025390625,-0.0849609375,2,2,2
AAA,2,3,1.53125,-0.59765625,-2.12890625,0.001218322641212962,0.004208526288264122,0.021484375,5.8916015625,-0.3583984375,-6.25,0.0018580087447330807,-0.005640504930367522,0.009765625,0.017578125,0.0234375,0.01171875,2,2,2
AAA,2,4,1.5078125,-0.60546875,-2.11328125,0.0013963388410562288,-0.004736358191833051,-0.001953125,5.859375,-0.359375,-6.21875,0.0008682598160906067,0.004827247345024504,-0.0224609375,-0.0087890625,0.033203125,0.0205078125,2,2,2
AAA,2,5,1.58203125,-0.56640625,-2.1484375,0.010078733594901051,0.023698450455921925,0.072265625,5.921875,-0.359375,-6.28125,0.0008058923298413717,-0.009403758719875834,0.0400390625,0.0302734375,0.017578125,0.0322265625,2,2,2
AAA,2,6,1.517578125,-0.607421875,-2.125,0.0011613517543118367,0.0005761233561926934,0.0078125,5.884765625,-0.349609375,-6.234375,0.001527960535809788,-0.0008720930232558139,0.0029296875,0.0087890625,0.037109375,0.0048828125,2,2,2
AAA,2,7,1.509765625,-0.599609375,-2.109375,0.001842057146474241,-0.0019681402940506616,0.0,5.9072265625,-0.3583984375,-6.265625,0.0018482283796081313,-0.005918022623174837,0.025390625,0.0380859375,0.001953125,-0.025390625,2,2,2
AAA,2,8,1.56640625,-0.59375,-2.16015625,0.0019014767088892117,0.013361549037966783,0.056640625,5.876953125,-0.357421875,-6.234375,0.002000846864010453,0.00046941822506769244,-0.0048828125,0.0400390625,0.0234375,0.0615234375,2,2,2
AAA,2,9,1.51171875,-0.59765625,-2.109375,0.001200855209422045,0.00014403083904817335,0.001953125,5.8798828125,-0.3544921875,-6.234375,0.0005758120466701575,0.0004720542213899503,-0.001953125,0.0244140625,0.05078125,0.00390625,2,2,2
AAA,2,10,1.5390625,-0.578125,-2.1171875,0.001528867313942056,0.00653410768361296,0.029296875,5.8671875,-0.3515625,-6.21875,0.0006694611899816401,0.000752207910519523,-0.0146484375,0.0390625,0.013671875,0.0439453125,2,2,2
AAA,2,11,1.53515625,-0.59765625,-2.1328125,0.001735413891912048,0.005371316985938541,0.025390625,5.91796875,-0.36328125,-6.28125,0.0010258112119482872,-0.008240968022201416,0.0361328125,0.041015625,0.0234375,-0.0107421875,2,2,2
AAA,2,12,1.546875,-0.59765625,-2.14453125,0.0021322758802848943,0.00951573584364535,0.037109375,5.921875,-0.359375,-6.28125,0.0008266210684388839,-0.009403758719875834,0.0400390625,0.009765625,-0.0068359375,-0.0029296875,2,2,2
AAA,2,13,1.525390625,-0.587890625,-2.11328125,0.0009110511093605746,0.003120387006436049,0.015625,5.8974609375,-0.3525390625,-6.25,9.162378562771581e-05,-0.004651162790697674,0.015625,-0.0009765625,0.013671875,0.0,2,2,2
AAA,2,14,1.50390625,-0.59375,-2.09765625,0.0011686471644930649,-0.000869457026933556,-0.005859375,5.8828125,-0.3515625,-6.234375,0.000659889025350047,-0.002149496841022007,0.0009765625,0.0244140625,0.03515625,-0.0068359375,2,2,2
AAA,2,15,1.548828125,-0.595703125,-2.14453125,0.001636096502203047,0.01009713119248256,0.0390625,5.8720703125,-0.3623046875,-6.234375,0.0007919261245180533,0.0036723646363168595,-0.009765625,0.064453125,0.001953125,0.048828125,2,2,2
AAA,2,16,1.53125,-0.5859375,-2.1171875,0.0017060788469828872,0.003115115013791533,0.021484375,5.904296875,-0.361328125,-6.265625,0.000418819944209749,-0.0041712005803409506,0.0224609375,0.0400390625,0.046875,-0.0009765625,2,2,2
AAA,2,17,1.53515625,-0.58984375,-2.125,0.0017479970224789309,0.004715270221254987,0.025390625,5.8994140625,-0.3505859375,-6.25,0.0009007620822683928,-0.005341899266982143,0.017578125,0.0498046875,0.05859375,0.0078125,2,2,2
AAA,2,18,1.51953125,-0.58984375,-2.109375,0.0010649775820250826,0.0011575187050299027,0.009765625,5.8984375,-0.3671875,-6.265625,0.0010176340808729454,-0.004176472572985466,0.0166015625,0.0234375,-0.00390625,-0.0068359375,2,2,2
AAA,2,19,1.513671875,-0.595703125,-2.109375,0.0015558043041118633,-0.0005866673414817252,0.00390625,5.8525390625,-0.3505859375,-6.203125,0.0024135796952827015,0.005987402046376665,-0.029296875,0.0166015625,0.033203125,0.033203125,2,2,2
AAA,2,20,1.5703125,-0.59375,-2.1640625,0.0026061245441099307,0.015180386500324754,0.060546875,5.8916015625,-0.3583984375,-6.25,0.0010346894937561962,-0.0021415888520552335,0.009765625,0.041015625,0.029296875,0.05078125,2,2,2
AAA,2,21,1.544921875,-0.591796875,-2.13671875,0.0014956271696705118,0.008934340494808141,0.03515625,5.896484375,-0.353515625,-6.25,0.00025042697381103104,-0.002720348204570185,0.0146484375,0.0244140625,0.009765625,0.0205078125,2,2,2
AAA,2,22,1.546875,-0.5859375,-2.1328125,0.0011306809448831177,0.009297053588750832,0.037109375,5.8828125,-0.3515625,-6.234375,0.0006466714949386915,-0.002149496841022007,0.0009765625,0.0068359375,0.0078125,0.0361328125,2,2,2
AAA,2,23,1.5625,-0.58203125,-2.14453125,0.002442877404080102,0.01372953412455399,0.052734375,5.8837890625,-0.3505859375,-6.234375,0.000886152266631169,-0.0024401945154406118,0.001953125,0.009765625,0.041015625,0.05078125,2,2,2
AAA,2,24,1.54296875,-0.58984375,-2.1328125,0.0011453822315359197,0.008134262891076414,0.033203125,5.9140625,-0.3671875,-6.28125,0.001028595402361776,-0.007078177324526997,0.0322265625,0.0146484375,0.048828125,0.0009765625,2,2,2
AAA,2,25,1.501953125,-0.587890625,-2.08984375,0.0010076435820771425,-0.0038563571796104627,-0.0078125,5.890625,-0.359375,-6.25,0.000820693601771885,-0.0036003492167927726,0.0087890625,0.0068359375,-0.00390625,-0.0166015625,2,2,2
