layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c
1,16,2.1644606370192307,-0.0017022235576923076,-0.03159983548080743,2.165069110576923,-0.00109375,0.0009537443466842142,-0.0006084735576923075
1,17,2.1633984374999997,-0.0027644230769230766,-0.03436745119661045,2.1627989783653847,-0.003363882211538461,0.00023985466483505968,0.0005994591346153851
1,18,2.1682767427884615,0.0021138822115384613,-0.037082055440507515,2.167010216346154,0.0008473557692307688,-9.248087436953588e-05,0.001266526442307692
1,19,2.1653771033653846,-0.0007857572115384615,-0.0485033947951029,2.1658037860576926,-0.00035907451923076914,-0.00015225718976335042,-0.0004266826923076923
1,20,2.1647250600961536,-0.001437800480769231,-0.05160193631209559,2.163909254807692,-0.002253605769230769,-0.0007945153826801891,0.0008158052884615388
1,21,2.1647716346153847,-0.0013912259615384618,-0.018367241564778918,2.1637214543269234,-0.00244140625,0.0020401271826725343,0.0010501802884615382
1,22,2.1656174879807693,-0.0005453725961538459,-0.05256166109230353,2.164881310096154,-0.0012815504807692304,-0.000602271500004826,0.0007361778846153847
1,23,2.165557391826923,-0.0006054687500000001,-0.04719579365639294,2.1620688100961543,-0.004094050480769231,0.001724685045811902,0.0034885817307692304
1,24,2.162255108173077,-0.003907752403846154,-0.024008075618027282,2.1622776442307696,-0.0038852163461538455,0.0007571206050455534,-2.2536057692307694e-05
1,25,2.1618269230769234,-0.0043359375,-0.047761839910084446,2.1642067307692305,-0.0019561298076923076,7.00771773363689e-05,-0.002379807692307693
1,26,2.164164663461538,-0.0019981971153846152,-0.0440503417905886,2.16673828125,0.0005754206730769232,-0.002449417556202946,-0.0025736177884615385
1,27,2.166143329326923,-1.953125000000012e-05,-0.022379357886319742,2.165552884615385,-0.0006099759615384613,0.0015435039033799144,0.0005904447115384617
1,28,2.1650856370192306,-0.001077223557692308,-0.04060113460984896,2.162615685096154,-0.0035471754807692305,0.000614465984714537,0.0024699519230769224
1,29,2.1646078725961537,-0.0015549879807692307,-0.03233892780080296,2.164268329326923,-0.0018945312499999997,-0.0003321482554094052,0.00033954326923076923
1,30,2.1694651442307693,0.0033022836538461543,-0.04878012418718169,2.166284555288462,0.00012169471153846156,0.0004952848807590734,0.003180588942307692
1,31,2.160763221153846,-0.005399639423076923,-0.026314900351974847,2.1668239182692304,0.0006610576923076923,0.0022298618457094184,-0.006060697115384615
2,0,2.166020132211538,-0.00014272836538461545,-0.04058421589701872,2.1648091947115384,-0.0013536658653846153,-0.0008991117843672176,0.0012109375
2,1,2.1647325721153843,-0.0014302884615384614,-0.043115248893326644,2.1649639423076925,-0.0011989182692307694,0.0006010679749593253,-0.0002313701923076923
2,2,2.169734074519231,0.003571213942307692,-0.022438137431982585,2.1657872596153847,-0.0003756009615384611,-0.001266832614447638,0.003946814903846155
2,3,2.1656054687500004,-0.0005573918269230769,-0.037437228934650284,2.1632421875,-0.0029206730769230768,-0.0009472827419122384,0.0023632812500000004
2,4,2.1657512019230767,-0.00041165865384615384,-0.0374517058369499,2.16484375,-0.001319110576923077,0.0013168575575672233,0.0009074519230769229
2,5,2.1642683293269234,-0.00189453125,-0.061162889909026005,2.1644471153846156,-0.0017157451923076922,0.0016714656473737599,-0.00017878605769230756
2,6,2.1656535456730768,-0.0005093149038461538,-0.010947425420132322,2.1649879807692303,-0.0011748798076923076,0.0008536884189726281,0.0006655649038461537
