source_layer,source_head,downstream_layer_count,M_plus_AC,M_plus_CA,M_plus_residual,I_AC,I_CA,I_residual
16,21,16,0.013366916316583044,0.011877772683778431,0.012622344500180738,0.0030778136816024928,0.0038268543994490756,0.003452334040525784
16,22,16,0.012913216924291149,0.011037127416997805,0.011975172170644477,0.002704025708408153,0.003173379405751575,0.002938702557079864
16,23,16,0.016816939507796017,0.014498479391308904,0.01565770944955246,0.009944849887779128,0.009747560924347453,0.00984620540606329
16,24,16,0.0,0.0006598759435746614,1.554316652914167e-05,-0.031742286949884145,-0.030270296015442,-0.031006291482663074
16,25,16,0.021650417035322535,0.018019096065692963,0.01983475655050775,0.014157305967091815,0.014542910910768115,0.014350108438929966
16,26,16,0.04121355602374024,0.03130945693559397,0.036261506479667104,0.035747896145039704,0.035122531284287106,0.035435213714663405
16,27,16,0.023580635959962137,0.019460692319954377,0.021520664139958255,0.01533745136766811,0.016353516974049853,0.01584548417085898
16,28,16,0.010609707473383533,0.01059810474425902,0.010603906108821275,0.0001721948440547294,0.000607420041660589,0.0003898074428576592
16,29,16,0.010854164654766761,0.0100921939434091,0.01047317929908793,0.00043897360119444785,0.0007499244456425913,0.0005944490234185196
16,30,16,0.01080902138594404,0.009985433394044474,0.010395711480599446,-5.199369407478116e-05,0.00031533352325823215,0.0001316699145917255
16,31,16,0.012276213529332124,0.011538754756220636,0.01190748414277638,0.0037794658629309195,0.0038963965303992153,0.003837931196665067
17,0,15,0.011319026389713447,0.010062852954697898,0.010681261903352494,-0.00011839261129580337,0.00028917103554704227,8.538921212561946e-05
17,1,15,0.011793473318663624,0.010470444708681656,0.01113195901367264,0.0002400797594418691,0.0004847492639328266,0.00036241451168734785
17,2,15,0.011095462033324186,0.010703624926918658,0.010899543480121423,0.0004044675317345536,0.000643148119070247,0.0005238078254024003
17,3,15,0.012056143436303254,0.010937317658526336,0.011496730547414794,0.0009117066012947816,0.0012788478853053675,0.0010952772433000745
17,4,15,0.01707478004038042,0.015136424532059703,0.01610560228622006,0.007036684761987999,0.007326112523878691,0.007181398642933346
17,5,15,0.011715837307469007,0.010887911121204706,0.011301874214336856,0.0008967169953109533,0.0014919896338597028,0.001194353314585328
17,6,15,0.013013100610126001,0.012068189950471623,0.012540645280298812,0.0016282247169328913,0.002078898583249611,0.0018535616500912511
